rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
69,tig,597,11545,C,https://github.com/jonas/tig,Text-mode interface for git,MDEwOlJlcG9zaXRvcnkxNDA2NTY=,2023-03-05T19:36:19Z
70,esp8266_deauther,2376,11468,C,https://github.com/SpacehuhnTech/esp8266_deauther,Affordable WiFi hacking platform for testing and learning,MDEwOlJlcG9zaXRvcnk3ODI4MTA3NQ==,2023-01-20T05:15:06Z
71,openresty,1470,11219,C,https://github.com/openresty/openresty,High Performance Web Platform Based on Nginx and LuaJIT,MDEwOlJlcG9zaXRvcnk0ODAwODA=,2023-03-23T10:23:03Z
72,OpenCorePkg,1962,11157,C,https://github.com/acidanthera/OpenCorePkg,OpenCore bootloader,MDEwOlJlcG9zaXRvcnkxNzkzNTQyODI=,2023-03-28T06:46:02Z
73,webview,863,11003,C,https://github.com/webview/webview,Tiny cross-platform webview library for C/C++/Golang. Uses WebKit (Gtk/Cocoa) and Edge (Windows),MDEwOlJlcG9zaXRvcnkxMDA3ODEwMzU=,2023-03-19T21:35:34Z
74,rofi,587,10879,C,https://github.com/davatorium/rofi,"Rofi: A window switcher, application launcher and dmenu replacement",MDEwOlJlcG9zaXRvcnk3NzE1ODIw,2023-03-27T16:47:37Z
75,systemd,3288,10853,C,https://github.com/systemd/systemd,The systemd System and Service Manager ,MDEwOlJlcG9zaXRvcnkzMjg3MzMxMw==,2023-03-28T13:09:27Z
76,libsodium,1659,10849,C,https://github.com/jedisct1/libsodium,"A modern, portable, easy to use crypto library.",MDEwOlJlcG9zaXRvcnk3NzEwNjQ3,2023-03-24T14:53:59Z
77,BlackHole,453,10772,C,https://github.com/ExistentialAudio/BlackHole,BlackHole is a modern macOS virtual audio driver that allows applications to pass audio to other applications with zero additional latency.,MDEwOlJlcG9zaXRvcnkyMTEzODEyOTE=,2023-02-10T20:36:40Z
78,cosmopolitan,349,10647,C,https://github.com/jart/cosmopolitan,build-once run-anywhere c library,MDEwOlJlcG9zaXRvcnkyNzI0NTc2MDY=,2023-03-28T06:02:55Z
79,vlc,3375,10619,C,https://github.com/videolan/vlc,"VLC media player - All pull requests are ignored, please follow https://wiki.videolan.org/Sending_Patches_VLC/",MDEwOlJlcG9zaXRvcnkzMjk5MjA4,2023-03-24T01:27:08Z
80,darwin-xnu,1653,10612,C,https://github.com/apple/darwin-xnu,"The Darwin Kernel (mirror). This repository is a pure mirror and contributions are currently not accepted via pull-requests, please submit your contributions via https://developer.apple.com/bug-reporting/",MDEwOlJlcG9zaXRvcnk5MzIwNTQ2NQ==,2023-01-13T01:48:01Z
81,lua-nginx-module,2005,10559,C,https://github.com/openresty/lua-nginx-module,Embed the Power of Lua into NGINX HTTP servers,MDEwOlJlcG9zaXRvcnk2MTM4Mjk=,2023-03-23T06:30:00Z
82,seafile,1485,10527,C,https://github.com/haiwen/seafile,"High performance file syncing and sharing, with also Markdown WYSIWYG editing, Wiki, file label and other knowledge management features.",MDEwOlJlcG9zaXRvcnk0OTk5OTU5,2023-03-25T07:00:01Z
83,libui,620,10428,C,https://github.com/andlabs/libui,Simple and portable (but not inflexible) GUI library in C that uses the native GUI technologies of each platform it supports.,MDEwOlJlcG9zaXRvcnkzNDA4ODI4NQ==,2022-07-30T22:52:58Z
84,arduino-esp32,6626,10420,C,https://github.com/espressif/arduino-esp32,Arduino core for the ESP32,MDEwOlJlcG9zaXRvcnk3MDEyNzIxOA==,2023-03-28T12:15:37Z
85,glfw,4200,10387,C,https://github.com/glfw/glfw,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",MDEwOlJlcG9zaXRvcnk5NTI0OTk3,2023-03-27T20:16:09Z
86,h2o,825,10332,C,https://github.com/h2o/h2o,"H2O - the optimized HTTP/1, HTTP/2, HTTP/3 server",MDEwOlJlcG9zaXRvcnkyMzAyOTYxNw==,2023-03-23T17:59:08Z
