rank,repo_name,forks,stars,language,repo_url,description,id
778,spring3-mvc-maven-xml-hello-world,1164,40,Java,https://github.com/mkyong/spring3-mvc-maven-xml-hello-world,Maven + Spring 3 MVC hello world example (XML),MDEwOlJlcG9zaXRvcnkzNzQ0Mjg5OQ==
766,stetho,1163,12630,Java,https://github.com/facebook/stetho,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more.",MDEwOlJlcG9zaXRvcnkyOTcwMzg3MQ==
767,spa-day-starter-code,1163,0,Java,https://github.com/LaunchCodeEducation/spa-day-starter-code,,MDEwOlJlcG9zaXRvcnkyMjM0ODE0NjQ=
768,Twitter4J,1160,2692,Java,https://github.com/Twitter4J/Twitter4J,Twitter4J is an open-source Java library for the Twitter API.,MDEwOlJlcG9zaXRvcnkxODQ2MDQ=
769,light-task-scheduler,1159,2978,Java,https://github.com/ltsopensource/light-task-scheduler,Distributed Scheduled Job Framework,MDEwOlJlcG9zaXRvcnkyNTY4ODM4Nw==
773,ftgo-application,1155,2926,Java,https://github.com/microservices-patterns/ftgo-application,Example code for the book Microservice patterns,MDEwOlJlcG9zaXRvcnkxMDc5MzIxNzY=
770,closure-compiler,1155,6800,Java,https://github.com/google/closure-compiler,A JavaScript checker and optimizer.,MDEwOlJlcG9zaXRvcnkxODg0NTAyNA==
774,SimianArmy,1154,7931,Java,https://github.com/Netflix/SimianArmy,Tools for keeping your cloud operating in top form. Chaos Monkey is a resiliency tool that helps applications tolerate random instance failures.,MDEwOlJlcG9zaXRvcnk0OTMxNjU5
772,AndroidStaggeredGrid,1154,4775,Java,https://github.com/etsy/AndroidStaggeredGrid,An Android staggered grid view which supports multiple columns with rows of varying sizes.,MDEwOlJlcG9zaXRvcnkxNTA1NzIxNg==
775,GmsCore,1151,5466,Java,https://github.com/microg/GmsCore,Free implementation of Play Services,MDEwOlJlcG9zaXRvcnkxOTA4MjcxNQ==
776,xbin-store,1151,2135,Java,https://github.com/xubinux/xbin-store,"模仿国内知名B2C网站,实现的一个分布式B2C商城 使用Spring Boot 自动配置 Dubbox / MVC / MyBatis / Druid / Solr / Redis 等。使用Spring Cloud版本请查看",MDEwOlJlcG9zaXRvcnk4MzE4MjM2NA==
777,spring-data-book,1150,1349,Java,https://github.com/spring-projects/spring-data-book,Spring Data - The Definitive Guide - Modern Data Access for Enterprise Java Developers,MDEwOlJlcG9zaXRvcnk0Mjk4Njc2
779,SpringMVC-Mybatis-Shiro-redis-0.2,1150,1779,Java,https://github.com/baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,基于SpringMVC、Mybatis、Redis、Freemarker的Shiro管理Demo源码的升级版。 ,MDEwOlJlcG9zaXRvcnk3NDc0NzY5NA==
780,onlinebookstore,1148,230,Java,https://github.com/shashirajraja/onlinebookstore,"The Online Book Shopping Store to manage, buy, add, remove and sell books. Book name and Quantity selection, auto receipt generated and payment options. Login and logout security for both user and admin. Seperate Profile for all.",MDEwOlJlcG9zaXRvcnkxNDIyNDgzMjQ=
781,FastBle,1147,4894,Java,https://github.com/Jasonchenlijian/FastBle,"Android Bluetooth Low Energy (BLE) Fast Development Framework. It uses simple ways to filter, scan, connect, read ,write, notify, readRssi, setMTU, and multiConnection.",MDEwOlJlcG9zaXRvcnk2NjMyMzk2MA==
784,SpringCourse,1146,341,Java,https://github.com/NeilAlishev/SpringCourse,Сопровождающие материалы для курса по Spring Framework,MDEwOlJlcG9zaXRvcnkxNzg2NjY2MDQ=
782,FloatingActionButton,1145,5234,Java,https://github.com/Clans/FloatingActionButton,Android Floating Action Button based on Material Design specification,MDEwOlJlcG9zaXRvcnkzMjYzMTM1Mw==
783,smart-sso,1145,1936,Java,https://github.com/a466350665/smart-sso,springboot SSO 单点登录，OAuth2实现，支持App登录，支持分布式,MDEwOlJlcG9zaXRvcnk2MzA1MzMwNQ==
785,Advance-Android-Tutorials,1143,346,Java,https://github.com/StacktipsLab/Advance-Android-Tutorials,Advance Android Tutorials,MDEwOlJlcG9zaXRvcnk4ODc3NzE3
