rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
800,SwipeDelMenuLayout,615,3533,Java,https://github.com/mcxtzhang/SwipeDelMenuLayout,"The most simple SwipeMenu in the history, 0 coupling, support any ViewGroup. Step integration swipe (delete) menu, high imitation QQ, iOS. ~史上最简单侧滑菜单，0耦合，支持任意ViewGroup。一步集成侧滑(删除)菜单，高仿QQ、IOS。~",MDEwOlJlcG9zaXRvcnk2NjUzODUzNA==,2020-01-02T06:03:55Z
802,Play-with-Algorithms,1480,3529,Java,https://github.com/liuyubobobo/Play-with-Algorithms,"Codes of my MOOC Course <Play with Algorithms>, Both in C++ and Java language. Updated contents and practices are also included. 我在慕课网上的课程《算法与数据结构》示例代码，包括C++和Java版本。课程的更多更新内容及辅助练习也将逐步添加进这个代码仓。",MDEwOlJlcG9zaXRvcnk2MjY1OTIxMA==,2021-12-12T18:48:29Z
803,chunjun,1589,3528,Java,https://github.com/DTStack/chunjun,A data integration framework,MDEwOlJlcG9zaXRvcnkxMjc5MDY4ODM=,2023-03-28T12:03:19Z
804,jetty.project,1853,3528,Java,https://github.com/eclipse/jetty.project,"Eclipse Jetty® - Web Container & Clients - supports HTTP/2, HTTP/1.1, HTTP/1.0, websocket, servlets, and more",MDEwOlJlcG9zaXRvcnkyMDQ1MjA3,2023-03-28T08:49:53Z
805,ThreeTenABP,136,3527,Java,https://github.com/JakeWharton/ThreeTenABP,An adaptation of the JSR-310 backport for Android.,MDEwOlJlcG9zaXRvcnkzODUwMzkzMg==,2022-12-06T15:53:06Z
806,MagicaSakura,474,3524,Java,https://github.com/bilibili/MagicaSakura,MagicaSakura 是 Android 多主题框架。~ is an Android multi theme library which supporting both daily colorful theme and night theme. ,MDEwOlJlcG9zaXRvcnk2MTc4NjA4Mg==,2022-02-16T08:39:50Z
807,FlexibleAdapter,550,3517,Java,https://github.com/davideas/FlexibleAdapter,Fast and versatile Adapter for RecyclerView which regroups several features into one library to considerably improve the user experience :-),MDEwOlJlcG9zaXRvcnkzNDk2NDc5Mw==,2021-10-18T16:42:43Z
808,SwipeMenuListView,1277,3514,Java,https://github.com/baoyongzhang/SwipeMenuListView,[DEPRECATED] A swipe menu for ListView.,MDEwOlJlcG9zaXRvcnkyMzI4NDgyMA==,2022-09-08T07:08:01Z
809,blog_demos,1578,3508,Java,https://github.com/zq2599/blog_demos,CSDN博客专家程序员欣宸的github，这里有六百多篇原创文章的详细分类和汇总，以及对应的源码，内容涉及Java、Docker、Kubernetes、DevOPS等方面,MDEwOlJlcG9zaXRvcnk4NzY4MzcxMg==,2023-03-24T01:24:52Z
810,hackpad,539,3506,Java,https://github.com/dropbox/hackpad,Hackpad is a web-based realtime wiki.,MDEwOlJlcG9zaXRvcnk0MDY5MTg4Ng==,2017-07-21T00:12:33Z
